sap_id,streetlight_model,streetlight_type,streetlight_wattage,streetlight_voltage,lng,lat,location_description
SS-012019-015,COBRA,IND,85,240,-117.2261782,32.88667317,AI GENESEE AV E/O SD-005 NB OFFRAMP 315'
SX-003415-003,COBRA,IND,85,120,-117.2204731,32.88200364,CAMPUS PT DR @ GENESEE AV NWW
SX-003415-005,COBRA,IND,85,120,-117.2201797,32.88181683,CAMPUS PT DR @ GENESEE AV SWS
SX-003415-002,COBRA,IND,85,120,-117.2201864,32.88229548,CAMPUS PT DR @ GENESEE AV NEN
SX-003415-004,COBRA,IND,85,120,-117.2199462,32.88214614,CAMPUS PT DR @ GENESEE AV SEE
SS-026727-007,COBRA,IND,85,240,-117.2124064,32.88572163,TOWNE CENTRE DR S/O WESTERRA CT 765' E/S
,COBRA,IND,165,240,-117.2415756,32.86993195,CS LJ VLG DR E/O TORREY PINES RD 165' S/S
SS-026727-003,COBRA,IND,85,240,-117.214143,32.88572556,TOWNE CENTRE DR S/O WESTERRA CT 335' W/S
SS-026727-006,COBRA,IND,85,240,-117.213018,32.88570792,TOWNE CENTRE DR S/O WESTERRA CT 700' W/S
SS-026727-005,COBRA,IND,85,240,-117.2133996,32.88572586,TOWNE CENTRE DR S/O WESTERRA CT 580' W/S
SS-026727-004,COBRA,IND,85,240,-117.2138089,32.88572598,TOWNE CENTRE DR S/O WESTERRA CT 455' W/S
SS-014187-001,COBRA,IND,85,120,-117.2451891,32.86361686,INVERNESS DR NW/O DUNAWAY DR 265'
SS-015636-004,COBRA,IND,85,120,-117.2256832,32.87173369,L J VLG DR W/O LEBON DR 345' S/S
,COBRA,IND,85,120,-117.2154768,32.86860851,CS LAS PALMAS SQ E/O COSTA VERDE BL 450' S/S
SS-020126-003,COBRA,IND,85,120,-117.2437119,32.87991671,TORREY PINES RD N S/O UCSD PRK LOT 150
,COBRA,IND,85,120,-117.2383137,32.89223281,CS JOHN J HOPKINS CT E/O JOHN J HOPKINS DR 210'
SS-010709-001,COBRA,IND,85,120,-117.2109236,32.87506389,EXECUTIVE DR E/O GENESEE AV 690' S/S
SX-003495-003,COBRA,IND,165,240,-117.2421239,32.87032442,L J VLG DR @ TORREY PINES RD NE
SX-003495-004,COBRA,IND,165,240,-117.2423629,32.87040267,L J VLG DR @ TORREY PINES RD NW
,COBRA,IND,165,240,-117.2427412,32.87070353,CS N TORREY PINES RD S/O REVELLE COLLEGE DR 165'
,COBRA,HPS,250,120,-117.2205221,32.89826779,SORRENTO VLY RD NW/O SORRENTO VLY BL 1975' E/S
SS-015636-008,COBRA,IND,85,120,-117.2245617,32.87120882,L J VLG DR W/O LEBON DR 740' S/S
SS-015644-002,COBRA,LPS,150,240,-117.2388381,32.87105157,
SS-015639-003,COBRA,LPS,90,2,-117.2359417,32.87198789,L J VLG DR W/O VILLA L J DR 750'
SX-003484-001,COBRA,LPS,90,2,-117.2392199,32.87148013,L J VLG DR E/O L J SCENIC DR 600'
SS-015631-001,COBRA,HPS,250,2,-117.2396568,32.8712204,L J VLG DR E/O L J SCENIC DR 450'
SX-003492-001,COBRA,LPS,180,240,-117.2403979,32.87067481,L J VLG DR E/O L J SCENIC DR 175'
